,Model,Source,Split,Dataset,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,num_nonzero_coefs,prot_length
655,ESM-2 650M,cellular,Site Split,UBC9_HUMAN_Roth2017,1,0.6042435386934609,0.4558200541845824,0.5877905941164863,0.0775033364877345,0.8101600733926387,1.133747516947123,0.8002519868828588,0.3651007270098986,294,159
656,ESM-2 650M,cellular,Site Split,UBC9_HUMAN_Roth2017,2,0.5912198039340651,0.4833277194736909,0.6581059996892794,-0.0694504139945086,0.7285110386645364,0.9054707773358333,0.8019422544981007,0.2889177758672069,291,159
657,ESM-2 650M,cellular,Site Split,UBC9_HUMAN_Roth2017,3,0.5284889772579646,0.5201748373023466,0.6906353341510888,0.0987235065638494,0.6797949437891617,0.9080184625117586,0.7642357476388142,0.4370023279945941,201,159
658,ESM-2 650M,cellular,Site Split,UBC9_HUMAN_Roth2017,4,0.5005336609412285,0.5214997283665882,0.7076249102105635,0.1946706699060091,0.7158488606056834,0.8882494920624465,0.7548841881809538,0.4497723456289234,205,159
659,ESM-2 650M,cellular,Site Split,UBC9_HUMAN_Roth2017,5,0.587325685300315,0.4843004992032417,0.6424316843555421,0.2482223736180377,0.6304859340795618,0.8616198728188329,0.7959503036804159,0.593281056999465,337,159
660,ESM-2 650M,cellular,Site Split,YAP1_HUMAN_Fields2012_singles,1,0.8105413191887969,0.336943437883624,0.4489641617724111,0.2912346123109218,0.5335800009246457,0.7110733714929983,0.9055631786183032,0.6688572133777615,91,504
661,ESM-2 650M,cellular,Site Split,YAP1_HUMAN_Fields2012_singles,2,0.6238106802472639,0.4355345147789653,0.597777266237505,0.085049418674211,0.8207245907034275,1.020194697486704,0.8199440133970362,0.3349228063318351,37,504
662,ESM-2 650M,cellular,Site Split,YAP1_HUMAN_Fields2012_singles,3,0.6330988650077805,0.4694060058396909,0.6378327499583819,0.0062872844310402,0.6185426760876513,0.7772155440875789,0.8273442734108974,0.5489926090918296,40,504
663,ESM-2 650M,cellular,Site Split,YAP1_HUMAN_Fields2012_singles,4,0.559716976197999,0.4790454313697556,0.6566334146743951,0.2292135811825405,0.7312897170757758,0.9050989724537288,0.7860138522175028,0.5950196449755663,37,504
664,ESM-2 650M,cellular,Site Split,YAP1_HUMAN_Fields2012_singles,5,0.2467403162141459,0.6107774693341864,0.8164758843478974,-0.059099591206001,0.8595604300523197,1.131737935539022,0.6400711688713546,0.4173208513496494,6,504
665,ESM-2 650M,cellular,Site Split,DLG4_RAT_Ranganathan2012,1,0.5965482703539803,0.4159504409366252,0.6214776149528839,0.0687847170534734,0.7391609506352983,1.0282113156845103,0.6515637822974673,0.1988902716076119,106,724
666,ESM-2 650M,cellular,Site Split,DLG4_RAT_Ranganathan2012,2,0.1132349062377197,0.6430154635390408,0.9486489860370853,0.1177049835330759,0.5959019837037807,0.9089060872184742,0.3345990310943407,0.4336123793942915,7,724
667,ESM-2 650M,cellular,Site Split,DLG4_RAT_Ranganathan2012,3,0.191022332379754,0.6728865049348819,0.9487729290553268,-0.1815363156864788,0.5562923047687078,0.7331227014860153,0.4629443194849175,0.2525977707864985,11,724
668,ESM-2 650M,cellular,Site Split,DLG4_RAT_Ranganathan2012,4,0.0521478857353262,0.7178237222287063,1.015347052521235,0.1015138298029391,0.5018405699594672,0.7596118883009733,0.2360699636549787,0.2675612069693046,1,724
669,ESM-2 650M,cellular,Site Split,DLG4_RAT_Ranganathan2012,5,0.0525799188895695,0.6198041312482043,0.9133377924322398,0.0597089776090843,0.7886217730832499,1.1622782841599533,0.2003569875655423,0.3727972435611631,1,724
670,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Tenaillon2013,1,0.6447586256270346,0.471944949320546,0.5992389236042794,0.3917191787228014,0.5838351056406343,0.7629492962072335,0.7362942835449826,0.6511541012650204,102,286
